Title,Abstract,Budget,Research_Impact,References,Institution,Applicant_Experience,Funded
Persevering client-driven installation,Stay student somebody very according. Much each serious another. Indicate evening give serious machine some side sister. His soon lead positive huge.,163113,5,39,Cambridge,4,1
Vision-oriented intangible product,All mention show TV. Argue small student dinner beautiful way present. Writer child car group impact training action. Few talk sell partner if worry. Project myself drug news leave. Real newspaper painting.,44848,8,27,Cambridge,3,1
Multi-tiered asynchronous challenge,Court within resource catch second need religious choice. Interview sometimes father compare. Top street national picture I couple dinner. Sort television different.,179124,4,20,Imperial College London,20,1
Polarized intangible website,Capital seek itself research sometimes Democrat. Knowledge say evidence I resource improve seven. Will north record not sit business grow.,114265,9,1,MIT,8,1
Operative intermediate superstructure,Toward agency fly choice go. Goal fund should old follow during maybe. Watch argue go risk. Section wrong nearly of.,132097,9,15,Imperial College London,17,1
Fundamental upward-trending portal,Consider early vote event everything husband occur. Least feeling clearly physical well image. Site both way care. Run father station you similar move sort.,37677,5,48,Caltech,6,1
Fully-configurable zero-defect throughput,Let stay enter perform five. Agency southern finally white story protect. Determine million over statement. Development use skill success hit great young might. Guess according performance. Pick main sense close go Congress visit carry. Goal people couple firm.,68340,9,19,Imperial College London,15,1
Digitized system-worthy extranet,Need soldier family total everybody probably either. Fish front back enter past own. Base standard allow television every nation. House determine medical yard class almost him before.,192845,1,37,MIT,20,0
Centralized encompassing data-warehouse,Go decide chance writer. Design within shake success relate. Maintain pass list. Unit final race matter be medical stay. Finally deal son major south threat see.,72548,8,43,MIT,14,0
Optimized needs-based encryption,Choice home meet wear focus manager. Defense worker should road. Bank building both continue. Year company purpose here new score simply agency. Require remember or throw recent as. Wonder college notice east add.,157224,1,6,Harvard,8,0
Multi-layered foreground frame,My parent any. Production sea PM whose. Significant job garden. Success rise them inside seek if language. Issue much political. Go minute positive drop.,49412,7,45,Stanford,3,1
Synergistic responsive data-warehouse,Again when outside relate. Power single relationship but big pass someone. Me word sister. Room own they life wife present.,13177,2,12,Cambridge,12,1
Extended secondary interface,House page market affect party ahead poor. Into economy campaign majority best. Sport risk college term money. Popular return radio better send fast rather. Later sea soldier size available off. Art environmental nation yeah.,167138,4,40,MIT,27,1
Multi-lateral systemic array,Have family fish stuff everything. Yet way conference dark wrong reveal. Every story civil tonight high. Job blue Republican win list particularly. Understand law about charge.,148076,2,32,Oxford,27,0
Organized transitional encryption,To onto small anyone performance hot. Southern firm watch. Quickly red body field.,128328,9,42,Caltech,7,1
Triple-buffered stable software,Third again compare day maintain class. Member size there appear reduce whether. Anyone field again age end answer. Likely people scene effort for network.,26705,10,40,Oxford,3,1
Multi-channeled fresh-thinking time-frame,Else ago especially nothing kid especially for. Bag range participant herself. Include require PM until.,177113,1,22,MIT,0,0
Robust fresh-thinking matrix,Difference capital thought choose have national research account. Without rule cold government total. Great television party itself pattern herself. Live process federal explain popular party. Look nation help.,172552,1,45,University of Tokyo,27,0
Persistent motivating encryption,Hope door kind travel democratic. Most culture character billion in. Bag policy take possible listen. Medical second nice some sure church.,189603,9,46,Caltech,10,1
Customer-focused tertiary firmware,Consider father leave. Although never executive million month white interview. Another lot material Mrs ground writer whom. Hair this dark. Half production response father condition popular.,116912,6,37,ETH Zurich,5,0
Multi-lateral bifurcated open system,Store side next challenge them. Maybe stock page practice behavior. Game little improve.,28032,1,27,University of Tokyo,1,0
Fundamental bottom-line array,Image want community citizen professor. Campaign economy world recognize few bed miss. Someone sea little technology. Cell adult argue alone for laugh. Week edge seek country your identify. Thing sort appear yard here move southern tax.,99943,6,49,Oxford,21,1
Virtual bottom-line secured line,Whether white tend ready child. Fish population reduce million need her. Back glass leg rather whose Republican. Behind capital increase lose. Its write make will simply.,78228,5,38,Caltech,9,1
Pre-emptive impactful structure,Amount should garden medical. Yourself international simply sport back positive. Right his fly magazine.,187901,5,35,University of Tokyo,13,1
